0	12.3445	-0.0981	-64.1574	6.54
0.01	12.343	-0.1962	-64.1574	6.54
0.02	12.3406	-0.2943	-64.1574	6.54
0.03	12.3372	-0.3924	-64.1574	6.54
0.04	12.3327	-0.4905	-64.1574	6.54
0.05	12.3273	-0.5886	-64.1574	6.54
0.06	12.321	-0.6867	-64.1574	6.54
0.07	12.3136	-0.7848	-64.1574	6.54
0.08	12.3053	-0.8829	-64.1574	6.54
0.09	12.296	-0.981	-64.1574	6.54
0.1	12.2856	-1.0791	-64.1574	6.54
0.11	12.2744	-1.1772	-64.1574	6.54
0.12	12.2621	-1.2753	-64.1574	6.54
0.13	12.2489	-1.3734	-64.1574	6.54
0.14	12.2346	-1.4715	-64.1574	6.54
0.15	12.2194	-1.5696	-64.1574	6.54
0.16	12.2032	-1.6677	-64.1574	6.54
0.17	12.1861	-1.7658	-64.1574	6.54
0.18	12.1679	-1.8639	-64.1574	6.54
0.19	12.1488	-1.962	-64.1574	6.54
0.2	12.1287	-2.0601	-64.1574	6.54
0.21	12.1076	-2.1582	-64.1574	6.54
0.22	12.0855	-2.2563	-64.1574	6.54
0.23	12.0625	-2.3544	-64.1574	6.54
0.24	12.0384	-2.4525	-64.1574	6.54
0.25	12.0134	-2.5506	-64.1574	6.54
0.26	11.9874	-2.6487	-64.1574	6.54
0.27	11.9604	-2.7468	-64.1574	6.54
0.28	11.9325	-2.8449	-64.1574	6.54
0.29	11.9036	-2.943	-64.1574	6.54
0.3	11.8736	-3.0411	-64.1574	6.54
0.31	11.8427	-3.1392	-64.1574	6.54
0.32	11.8108	-3.2373	-64.1574	6.54
0.33	11.778	-3.3354	-64.1574	6.54
0.34	11.7441	-3.4335	-64.1574	6.54
0.35	11.7093	-3.5316	-64.1574	6.54
0.36	11.6735	-3.6297	-64.1574	6.54
0.37	11.6367	-3.7278	-64.1574	6.54
0.38	11.5989	-3.8259	-64.1574	6.54
0.39	11.5602	-3.924	-64.1574	6.54
0.4	11.5205	-4.0221	-64.1574	6.54
0.41	11.4798	-4.1202	-64.1574	6.54
0.42	11.4381	-4.2183	-64.1574	6.54
