1.0000000000000001e-01	7.6094910514651771e-03	6.9656704399066011e-04
5.0000000000000003e-02	1.3799474798732992e-03	2.7889863699348565e-04
2.5000000000000001e-02	1.3581289222321056e-04	6.7604505522582140e-05
1.2500000000000001e-02	8.4656602197739249e-05	1.7658158838046163e-05
6.2500000000000003e-03	7.9205314209001901e-06	3.8886500737218332e-06
3.1250000000000002e-03	4.8966204105164224e-06	1.1512092276528405e-06
1.5625000000000001e-03	3.6074818188947514e-07	1.6657780450181448e-07
7.8125000000000004e-04	2.1512039884872963e-07	1.1803519933473076e-07
3.9062500000000002e-04	1.4230649921323047e-07	3.3212852959937310e-09
1.9531250000000001e-04	3.3085660831312320e-08	1.5812871337470002e-09
9.7656250000000005e-05	7.0854498575178299e-09	7.1127256910313908e-10
4.8828125000000003e-05	1.2379080375521032e-09	2.7625312612289103e-10
2.4414062500000001e-05	1.0228716479585751e-10	4.8624664338631257e-11
1.2207031250000001e-05	6.2040289452937820e-11	1.8475968657595267e-11
6.1035156250000003e-06	1.6530958700380033e-12	5.6369413108314252e-13
3.0517578125000002e-06	8.3604456582185773e-13	4.0007098054982523e-13
1.5258789062500001e-06	5.0906437686783335e-13	9.9666630212344588e-14
7.6293945312500004e-07	2.0201606687621678e-13	1.7929134810372806e-13
3.8146972656250002e-07	8.3964494358741844e-14	4.0810762858399084e-13
1.9073486328125001e-07	2.8508959784830766e-13	7.1906228909688800e-13
9.5367431640625005e-08	6.1056911628474287e-13	8.9475738440701369e-13
4.7683715820312503e-08	5.1842575923407457e-13	2.7995988707453655e-12
2.3841857910156251e-08	1.9700927132505053e-12	6.7798763829314030e-12
1.1920928955078126e-08	4.5923841088859257e-12	4.7061365707156907e-12
5.9604644775390628e-09	2.3815064008152862e-12	2.0293869203442635e-12
2.9802322387695314e-09	9.2666359005437600e-13	3.0888786335121534e-13
1.4901161193847657e-09	1.8248659359624286e-25	6.0828864532080948e-26
7.4505805969238285e-10	9.1243296798121428e-26	3.0414432266040474e-26
3.7252902984619143e-10	4.5621648399060714e-26	1.5207216133020237e-26
1.8626451492309571e-10	2.2810824199530357e-26	7.6036080665101185e-27
