0.0000000000000000e+00	1.0000000000000001e-01	1.0000000000000000e+00	9.9833416646828155e-01	9.9958338541356662e-01	9.9999979172866160e-01	9.9999998698013537e-01
1.0000000000000000e-02	1.0000000000000001e-01	9.9995000041666526e-01	9.9778467503008139e-01	9.9953340666078760e-01	9.9978305886405117e-01	9.9994998739745178e-01
2.0000000000000000e-02	1.0000000000000001e-01	9.9980000666657776e-01	9.9713540595586292e-01	9.9938347540028427e-01	9.9946634852670391e-01	9.9979999364931693e-01
2.9999999999999999e-02	1.0000000000000001e-01	9.9955003374898754e-01	9.9638642417199186e-01	9.9913360662505779e-01	9.9904969238739028e-01	9.9955002073498145e-01
4.0000000000000001e-02	1.0000000000000001e-01	9.9920010666097792e-01	9.9553780457602326e-01	9.9878382532177701e-01	9.9853313211137562e-01	9.9920009365152795e-01
5.0000000000000003e-02	1.0000000000000001e-01	9.9875026039496628e-01	9.9458963202920914e-01	9.9833416646828155e-01	9.9791671935425885e-01	9.9875024739137330e-01
6.0000000000000005e-02	1.0000000000000001e-01	9.9820053993520419e-01	9.9354200134801363e-01	9.9778467503008150e-01	9.9720051575680146e-01	9.9820052693876826e-01
7.0000000000000007e-02	1.0000000000000001e-01	9.9755100025327959e-01	9.9239501729463253e-01	9.9713540595586292e-01	9.9638459293876525e-01	9.9755098726530056e-01
8.0000000000000002e-02	1.0000000000000001e-01	9.9680170630261944e-01	9.9114879456651483e-01	9.9638642417199186e-01	9.9546903249175278e-01	9.9680169332439628e-01
8.9999999999999997e-02	1.0000000000000001e-01	9.9595273301199427e-01	9.8980345778489531e-01	9.9553780457602337e-01	9.9445392597104687e-01	9.9595272004482449e-01
9.9999999999999992e-02	1.0000000000000001e-01	9.9500416527802582e-01	9.8835914148233073e-01	9.9458963202920891e-01	9.9333937488645174e-01	9.9500415232320671e-01
1.0999999999999999e-01	1.0000000000000001e-01	9.9395609795669682e-01	9.8681599008924759e-01	9.9354200134801363e-01	9.9212549069214828e-01	9.9395608501552246e-01
1.1999999999999998e-01	1.0000000000000001e-01	9.9280863585386625e-01	9.8517415791949947e-01	9.9239501729463253e-01	9.9081239477554428e-01	9.9280862292763228e-01
